start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
11:25:18,11:35:57,0.0321,0.003,0.1291,0.0606,0.1126,0.0144,0.005,0.6345,0.0051,0.0,0.0036,0.0
11:27:00,11:38:01,0.0337,0.003,0.1353,0.0628,0.1186,0.0152,0.0052,0.6171,0.0054,0.0,0.0037,0.0
11:27:00,11:38:11,0.031,0.0034,0.1252,0.0876,0.1089,0.0137,0.0056,0.6152,0.0057,0.0001,0.0036,0.0
11:28:20,11:38:59,0.0321,0.003,0.1294,0.0635,0.1139,0.0144,0.0049,0.6301,0.0051,0.0,0.0036,0.0
11:29:25,11:39:33,0.0331,0.003,0.1355,0.0685,0.1155,0.0151,0.0053,0.6151,0.0054,0.0,0.0035,0.0
11:30:25,11:40:57,0.0325,0.003,0.1312,0.0664,0.1157,0.0149,0.0055,0.6221,0.0054,0.0,0.0033,0.0
11:31:59,11:40:47,0.0313,0.0206,0.1252,0.065,0.1077,0.0138,0.0052,0.6221,0.0054,0.0,0.0037,0.0
11:33:09,11:41:06,0.0313,0.003,0.1292,0.0675,0.1089,0.0139,0.0049,0.633,0.0051,0.0,0.0032,0.0
11:33:19,11:42:35,0.0327,0.003,0.1299,0.0622,0.1156,0.0147,0.0049,0.6283,0.0052,0.0,0.0035,0.0
11:35:00,11:44:00,0.0347,0.003,0.1361,0.064,0.1204,0.0158,0.0052,0.612,0.0052,0.0,0.0036,0.0
11:35:57,11:45:23,0.0333,0.0036,0.1453,0.0628,0.1151,0.0146,0.0051,0.6116,0.005,0.0,0.0036,0.0
11:38:01,11:45:25,0.0302,0.003,0.188,0.0911,0.1061,0.0135,0.0047,0.5554,0.0048,0.0,0.0032,0.0
11:38:11,11:46:45,0.0337,0.003,0.1415,0.0726,0.119,0.0149,0.005,0.6017,0.0051,0.0,0.0035,0.0
11:39:06,11:48:33,0.0344,0.003,0.1379,0.0633,0.1201,0.0156,0.0051,0.6116,0.0054,0.0,0.0036,0.0
11:39:33,11:50:00,0.0348,0.003,0.1387,0.0643,0.1224,0.0157,0.0051,0.6072,0.0052,0.0,0.0036,0.0
11:40:57,11:51:48,0.0332,0.003,0.1608,0.0619,0.1172,0.015,0.0049,0.5955,0.0051,0.0,0.0034,0.0
11:40:47,11:53:30,0.0341,0.003,0.1383,0.0635,0.1209,0.0154,0.0051,0.6108,0.0052,0.0,0.0037,0.0
11:41:06,11:54:51,0.0333,0.003,0.1353,0.0751,0.1169,0.015,0.0052,0.6078,0.005,0.0,0.0034,0.0
11:42:36,11:54:59,0.0358,0.0052,0.1484,0.0638,0.1092,0.0138,0.0049,0.6083,0.0063,0.0002,0.0041,0.0
11:44:00,11:55:02,0.0348,0.0151,0.1321,0.069,0.1101,0.0135,0.005,0.6108,0.0055,0.0009,0.0032,0.0
11:45:23,11:55:08,0.0316,0.0077,0.1426,0.0688,0.1095,0.0135,0.0053,0.6129,0.0049,0.0,0.0032,0.0
11:45:25,11:55:10,0.0312,0.0064,0.1339,0.0683,0.1065,0.0136,0.0048,0.6273,0.0048,0.0,0.0032,0.0
11:46:46,11:55:11,0.0311,0.003,0.1579,0.0615,0.1066,0.0134,0.0059,0.6126,0.0048,0.0,0.0032,0.0
11:48:33,11:55:17,0.0332,0.0114,0.1277,0.0779,0.1168,0.0137,0.0049,0.6012,0.0049,0.0016,0.0058,0.0009
11:50:00,11:55:22,0.033,0.0033,0.1246,0.0679,0.1091,0.0135,0.0055,0.6237,0.0056,0.0043,0.008,0.0015
11:51:47,11:55:21,0.0306,0.0032,0.135,0.0802,0.1079,0.0135,0.0049,0.6162,0.0049,0.0002,0.0034,0.0
11:53:32,11:55:29,0.0306,0.0032,0.1406,0.0639,0.1058,0.0134,0.0049,0.6296,0.0048,0.0,0.0032,0.0
11:54:51,11:55:13,0.0308,0.003,0.1291,0.0744,0.1081,0.0136,0.0047,0.6283,0.0048,0.0,0.0032,0.0
11:54:59,11:55:39,0.0303,0.003,0.1299,0.0719,0.1078,0.0134,0.0048,0.6309,0.0048,0.0,0.0032,0.0
11:55:02,11:55:22,0.0308,0.0033,0.133,0.0794,0.1069,0.0135,0.0049,0.619,0.0049,0.0001,0.004,0.0002
11:55:08,11:55:24,0.0318,0.003,0.1311,0.0702,0.1075,0.0136,0.0057,0.6242,0.0059,0.0013,0.0057,0.0
11:55:10,11:55:50,0.0312,0.0048,0.1549,0.0744,0.1124,0.0134,0.0051,0.5955,0.0051,0.0,0.0032,0.0
11:55:11,11:55:54,0.0303,0.003,0.1411,0.0705,0.1059,0.0135,0.0055,0.6215,0.0053,0.0,0.0034,0.0
11:55:17,11:55:57,0.0304,0.0031,0.1373,0.0775,0.1074,0.0134,0.0071,0.613,0.0073,0.0002,0.0033,0.0
11:55:22,11:55:59,0.035,0.004,0.1333,0.0757,0.1095,0.0135,0.0053,0.6039,0.0056,0.0027,0.0108,0.0007
11:55:24,11:56:04,0.0308,0.0032,0.1254,0.0962,0.1108,0.0135,0.0048,0.6061,0.005,0.0003,0.0038,0.0001
11:55:29,11:56:08,0.031,0.003,0.1232,0.0749,0.1063,0.0134,0.0047,0.6355,0.0048,0.0,0.0032,0.0
11:55:13,11:55:54,0.0306,0.0034,0.123,0.0975,0.1087,0.0137,0.0047,0.6104,0.0048,0.0,0.0032,0.0
11:55:39,11:56:12,0.0303,0.0031,0.1217,0.0709,0.1056,0.0134,0.0049,0.6415,0.0051,0.0,0.0035,0.0
11:55:22,11:56:11,0.0309,0.003,0.1266,0.1004,0.1099,0.0138,0.0051,0.6018,0.0051,0.0,0.0034,0.0
11:55:24,11:56:36,0.0322,0.0038,0.1304,0.071,0.1085,0.0136,0.0049,0.624,0.0049,0.0005,0.0056,0.0006
11:55:50,11:56:33,0.0399,0.0034,0.1356,0.0717,0.1166,0.014,0.0047,0.5993,0.0048,0.0,0.01,0.0
11:55:54,11:57:51,0.0326,0.0031,0.1299,0.0683,0.1189,0.0145,0.0049,0.6185,0.0052,0.0,0.0041,0.0
11:55:57,11:59:00,0.034,0.0031,0.134,0.0647,0.1174,0.0152,0.0051,0.6176,0.0053,0.0,0.0036,0.0
11:55:59,12:00:46,0.0342,0.0036,0.1385,0.0653,0.1186,0.0151,0.0051,0.61,0.0053,0.0,0.0043,0.0
11:56:04,12:00:50,0.0307,0.003,0.1505,0.0787,0.1064,0.0136,0.0051,0.603,0.005,0.0,0.004,0.0
11:56:08,12:01:00,0.0315,0.003,0.1255,0.0754,0.111,0.0138,0.0049,0.626,0.0051,0.0,0.0038,0.0
11:55:54,12:01:41,0.0325,0.0046,0.1363,0.0714,0.1152,0.0145,0.005,0.6095,0.0053,0.0004,0.0047,0.0006
11:56:12,12:03:00,0.033,0.003,0.132,0.0645,0.1174,0.0149,0.0051,0.6212,0.0053,0.0,0.0036,0.0
11:56:11,12:05:10,0.0348,0.003,0.1371,0.0638,0.1204,0.0157,0.0051,0.6113,0.0052,0.0,0.0036,0.0
11:56:36,12:06:25,0.0335,0.003,0.1346,0.0649,0.1195,0.0149,0.0052,0.6156,0.0053,0.0,0.0035,0.0
11:56:33,12:06:31,0.0319,0.0038,0.1306,0.0734,0.1087,0.0137,0.0049,0.621,0.0049,0.0005,0.006,0.0006
11:57:51,12:07:37,0.0327,0.003,0.1356,0.0664,0.1202,0.0146,0.005,0.6138,0.0051,0.0,0.0036,0.0
11:59:00,12:07:42,0.0331,0.0057,0.137,0.0835,0.1087,0.0137,0.0051,0.6025,0.005,0.0001,0.0053,0.0003
12:00:45,12:07:55,0.039,0.0123,0.1315,0.0789,0.1145,0.0137,0.0051,0.5957,0.0052,0.0,0.004,0.0001
12:00:50,12:08:09,0.0306,0.0033,0.1244,0.082,0.1066,0.0136,0.0054,0.6252,0.0053,0.0,0.0036,0.0
12:01:00,12:08:31,0.0313,0.0031,0.1246,0.0665,0.1113,0.0139,0.0049,0.6359,0.0052,0.0001,0.0032,0.0
12:01:41,12:10:12,0.0343,0.003,0.138,0.0631,0.1222,0.0154,0.0053,0.6091,0.0055,0.0,0.0041,0.0
12:03:00,12:10:41,0.0321,0.003,0.1273,0.0674,0.1113,0.0232,0.0049,0.6226,0.0048,0.0,0.0034,0.0
12:05:07,12:12:02,0.0336,0.0032,0.1403,0.0672,0.119,0.0152,0.0051,0.6075,0.0052,0.0,0.0037,0.0
12:06:25,12:13:00,0.0347,0.003,0.1411,0.0632,0.1233,0.0157,0.0049,0.6053,0.0054,0.0,0.0034,0.0
12:06:31,12:15:08,0.0333,0.003,0.1402,0.063,0.1168,0.0148,0.0053,0.6149,0.005,0.0,0.0037,0.0
12:07:37,12:16:00,0.0347,0.0036,0.1386,0.0664,0.1216,0.0154,0.005,0.6058,0.0054,0.0,0.0035,0.0
12:07:42,12:18:35,0.0345,0.003,0.1385,0.0653,0.1218,0.0156,0.0051,0.6074,0.0051,0.0,0.0037,0.0
12:07:55,12:20:14,0.0339,0.003,0.1363,0.063,0.1218,0.0153,0.0051,0.6122,0.0054,0.0,0.0039,0.0001
12:08:09,12:20:44,0.03361976369495166,0.00322234156820623,0.13630504833512352,0.0640171858216971,0.11804511278195488,0.015037593984962405,0.005048335123523094,0.6161117078410312,0.0051557465091299675,0.0,0.0034371643394199786,0.0
