start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
09:08:02,09:24:07,0.0654,0.028,0.2476,0.266,0.1559,0.024,0.0059,0.1885,0.0061,0.0007,0.0109,0.001
09:10:10,09:26:41,0.0654,0.0274,0.2649,0.2503,0.1575,0.0245,0.0057,0.1861,0.006,0.0007,0.0105,0.001
09:12:57,09:30:02,0.0677,0.0274,0.2474,0.2488,0.1641,0.0256,0.0062,0.1939,0.0064,0.0007,0.0108,0.001
09:13:30,09:32:42,0.0656,0.0274,0.2646,0.2447,0.1582,0.0246,0.0057,0.191,0.0061,0.0007,0.0104,0.001
09:13:51,09:33:05,0.0662,0.0298,0.2578,0.2476,0.1547,0.0236,0.0064,0.1948,0.0068,0.0007,0.0106,0.001
09:14:59,09:37:46,0.0675,0.0274,0.2494,0.2471,0.164,0.0255,0.0059,0.1945,0.0062,0.0007,0.0108,0.001
09:15:29,09:39:43,0.0651,0.0284,0.2493,0.2617,0.1546,0.0238,0.0068,0.1906,0.0069,0.0008,0.011,0.001
09:18:29,09:42:35,0.0662,0.0274,0.2574,0.247,0.1595,0.0249,0.0059,0.1931,0.0063,0.0007,0.0106,0.001
09:21:38,09:46:05,0.0678,0.0274,0.2496,0.2471,0.1651,0.0257,0.0061,0.1922,0.0065,0.0007,0.0108,0.001
09:22:03,09:49:12,0.0672,0.0274,0.2471,0.248,0.1647,0.0253,0.006,0.1954,0.0062,0.0007,0.011,0.001
09:24:09,09:50:49,0.0638,0.0274,0.253,0.2462,0.1517,0.0234,0.0062,0.21,0.0061,0.0007,0.0105,0.001
09:26:44,09:53:02,0.065,0.0274,0.2592,0.2462,0.1549,0.0241,0.0062,0.1981,0.0064,0.0007,0.0108,0.001
09:30:03,09:53:12,0.0624,0.0277,0.2255,0.2747,0.1413,0.0217,0.0054,0.2223,0.006,0.0013,0.0107,0.001
09:32:40,09:54:20,0.063,0.0279,0.241,0.2458,0.1587,0.0229,0.0056,0.2173,0.0058,0.0007,0.0103,0.001
09:33:05,09:53:11,0.0612,0.0275,0.2261,0.2407,0.1434,0.0223,0.0053,0.2559,0.0058,0.0007,0.0101,0.001
09:37:46,09:57:29,0.066,0.0277,0.242,0.246,0.1607,0.0247,0.0059,0.2084,0.0063,0.0007,0.0106,0.001
09:39:43,10:00:08,0.066,0.0278,0.2589,0.2501,0.1578,0.0246,0.006,0.1902,0.0063,0.0007,0.0106,0.001
09:42:35,10:01:09,0.0624,0.0274,0.293,0.2464,0.1481,0.0227,0.0056,0.1765,0.006,0.0007,0.0102,0.001
09:46:02,10:04:00,0.0662,0.0274,0.259,0.2463,0.1593,0.0249,0.0059,0.1928,0.006,0.0007,0.0105,0.001
09:49:17,10:05:49,0.0636,0.0274,0.2421,0.2534,0.1543,0.0239,0.0057,0.1973,0.006,0.0062,0.0187,0.0014
09:50:49,10:06:23,0.0611,0.0274,0.2473,0.2714,0.1455,0.0222,0.0056,0.1913,0.0058,0.0036,0.0175,0.0013
09:53:01,10:07:06,0.062,0.0274,0.2826,0.2436,0.1485,0.0223,0.0058,0.1888,0.0059,0.0007,0.011,0.0014
09:53:12,10:08:25,0.0633,0.028,0.2808,0.2534,0.1492,0.0231,0.0055,0.1787,0.006,0.0007,0.0103,0.001
09:54:20,10:10:50,0.0654,0.0278,0.2428,0.2595,0.1582,0.0244,0.0067,0.1953,0.0072,0.0008,0.0109,0.001
09:53:11,10:13:17,0.0652,0.0274,0.2619,0.2454,0.1566,0.0244,0.0059,0.1947,0.0062,0.0007,0.0106,0.001
09:57:29,10:16:34,0.0675,0.0276,0.2521,0.2469,0.1653,0.0255,0.0059,0.1902,0.0063,0.0007,0.0109,0.0011
10:00:08,10:20:00,0.0677,0.0274,0.2492,0.2487,0.1655,0.0257,0.0061,0.1906,0.0065,0.0007,0.0109,0.001
10:01:09,10:23:28,0.0686,0.028,0.2461,0.2493,0.165,0.0255,0.0063,0.1924,0.0064,0.0007,0.0107,0.001
10:04:00,10:26:52,0.0678,0.0274,0.2469,0.2476,0.1646,0.0257,0.0059,0.1956,0.0062,0.0007,0.0106,0.001
10:05:49,10:28:34,0.0716,0.0402,0.2509,0.2499,0.1509,0.0235,0.0058,0.1837,0.0061,0.0025,0.0129,0.002
10:06:23,10:31:05,0.0658,0.0274,0.2612,0.246,0.1636,0.0245,0.006,0.1867,0.0064,0.0007,0.0107,0.001
10:07:06,10:33:29,0.0669,0.0298,0.2443,0.2479,0.1595,0.0244,0.0064,0.2019,0.0066,0.0007,0.0106,0.001
10:08:25,10:36:40,0.0685,0.0274,0.2515,0.2468,0.1631,0.0252,0.0062,0.1924,0.0063,0.0007,0.0109,0.001
10:10:50,10:39:00,0.0692,0.0364,0.2441,0.2494,0.1599,0.0242,0.0059,0.1894,0.0064,0.0018,0.0119,0.0014
10:13:19,10:40:30,0.0634,0.0278,0.263,0.2583,0.1515,0.0234,0.0067,0.1862,0.007,0.0008,0.0109,0.001
10:16:36,10:43:08,0.0659,0.0274,0.2406,0.2658,0.1585,0.0246,0.0059,0.1928,0.0062,0.0007,0.0106,0.001
10:20:06,10:46:31,0.0675,0.0274,0.2484,0.2471,0.1645,0.0256,0.0059,0.195,0.0063,0.0007,0.0106,0.001
10:23:29,10:47:09,0.061,0.0274,0.2277,0.3138,0.1444,0.0223,0.0059,0.1793,0.0062,0.0007,0.0103,0.001
10:26:52,10:47:37,0.0674,0.0304,0.2289,0.2902,0.1473,0.0229,0.0055,0.1901,0.0056,0.0007,0.01,0.001
10:28:34,10:48:46,0.0739,0.0294,0.2488,0.2548,0.1626,0.0253,0.0057,0.1816,0.0058,0.0007,0.0104,0.001
10:31:02,10:50:41,0.0655,0.0288,0.2379,0.2501,0.1567,0.0238,0.006,0.2128,0.0061,0.0007,0.0106,0.001
10:33:29,10:53:05,0.0661,0.0278,0.2486,0.2484,0.1594,0.0246,0.0062,0.1997,0.0066,0.0007,0.0109,0.001
10:36:40,10:54:47,0.0649,0.028,0.2356,0.2507,0.1545,0.0235,0.0057,0.2188,0.0061,0.0007,0.0105,0.001
10:38:53,10:57:56,0.0671,0.0274,0.2463,0.2496,0.1656,0.0253,0.006,0.194,0.0064,0.0007,0.0106,0.001
10:40:29,11:00:58,0.0674,0.0274,0.2442,0.2549,0.1644,0.0252,0.006,0.1918,0.0063,0.0007,0.0107,0.001
10:43:08,11:04:29,0.068,0.0274,0.2491,0.2489,0.1661,0.0258,0.0061,0.1895,0.0065,0.0007,0.0109,0.001
10:46:27,11:07:39,0.0672,0.0274,0.2488,0.2464,0.1641,0.0255,0.0061,0.1958,0.0062,0.0007,0.0108,0.001
10:47:09,11:10:05,0.0663,0.0284,0.2412,0.2569,0.1584,0.0244,0.007,0.197,0.0074,0.0008,0.0112,0.001
10:47:37,11:09:02,0.0666,0.0274,0.2509,0.2493,0.1617,0.0251,0.0059,0.1946,0.0062,0.0007,0.0106,0.001
10:48:46,11:16:42,0.0682,0.0274,0.2477,0.2491,0.1649,0.0258,0.0059,0.1924,0.0063,0.0007,0.0106,0.001
10:50:41,11:20:01,0.0678,0.0274,0.2474,0.2473,0.1642,0.0257,0.0061,0.1952,0.0064,0.0007,0.0108,0.001
10:53:05,11:23:32,0.0686,0.028,0.2459,0.2498,0.1646,0.0255,0.0062,0.1926,0.0064,0.0007,0.0107,0.001
10:54:47,11:27:01,0.0676,0.0274,0.2473,0.2471,0.1644,0.0256,0.006,0.1961,0.0062,0.0007,0.0106,0.001
10:57:53,11:29:43,0.0661,0.0274,0.2422,0.2539,0.1585,0.0248,0.0066,0.2014,0.0068,0.0007,0.0106,0.001
11:00:58,11:30:48,0.0635,0.028,0.234,0.2676,0.1586,0.023,0.0062,0.2,0.0066,0.0008,0.0107,0.001
11:04:29,11:32:06,0.0626,0.0274,0.2367,0.2716,0.1559,0.023,0.0064,0.1973,0.0067,0.0007,0.0107,0.001
11:07:39,11:34:01,0.0668,0.0298,0.2426,0.2534,0.1591,0.0238,0.0064,0.1988,0.0069,0.0007,0.0107,0.001
11:10:01,11:35:41,0.0636,0.0274,0.2584,0.268,0.1532,0.0236,0.0055,0.1825,0.0058,0.0007,0.0103,0.001
11:09:03,11:36:58,0.0624,0.0274,0.266,0.2714,0.1488,0.023,0.0055,0.1776,0.0058,0.0007,0.0104,0.001
11:16:43,11:39:11,0.0656,0.028,0.2459,0.264,0.1562,0.0241,0.0066,0.1904,0.0067,0.0007,0.0108,0.001
11:20:01,11:41:59,0.0665,0.0278,0.2499,0.2469,0.1615,0.025,0.0063,0.1966,0.0067,0.0008,0.011,0.001
11:23:34,11:44:26,0.0662,0.0274,0.254,0.2475,0.1609,0.0244,0.006,0.1949,0.0062,0.0007,0.0108,0.001
11:27:01,11:47:43,0.0675,0.0274,0.2491,0.2474,0.1654,0.0254,0.006,0.193,0.0064,0.0007,0.0107,0.001
11:29:43,11:50:29,0.0659,0.0274,0.251,0.2468,0.1589,0.0248,0.0061,0.2004,0.0063,0.0007,0.0107,0.001
11:30:50,11:52:29,0.0648,0.0274,0.2528,0.2453,0.155,0.0239,0.0059,0.2065,0.0062,0.0007,0.0105,0.001
11:32:08,11:54:00,0.0642,0.0282,0.2551,0.2482,0.1523,0.0233,0.0058,0.2045,0.006,0.0007,0.0107,0.001
11:34:01,11:56:58,0.0668,0.0274,0.2452,0.2464,0.1623,0.0251,0.0061,0.2016,0.0066,0.0007,0.0108,0.001
11:35:41,11:59:47,0.0662,0.0274,0.2474,0.2542,0.1597,0.0249,0.006,0.196,0.0061,0.0007,0.0104,0.001
11:36:58,11:59:53,0.0703,0.0306,0.2534,0.2474,0.1452,0.0227,0.0055,0.2045,0.0075,0.001,0.0109,0.001
11:39:11,11:59:56,0.0641,0.0476,0.249,0.2555,0.1435,0.0218,0.0057,0.1948,0.0063,0.0007,0.01,0.001
11:41:59,12:00:04,0.0616,0.0302,0.2554,0.2517,0.1434,0.0216,0.007,0.2117,0.0057,0.0007,0.01,0.001
11:44:26,12:00:07,0.0622,0.033,0.2368,0.2732,0.1433,0.0218,0.0059,0.2048,0.0059,0.0021,0.01,0.001
11:47:44,12:00:18,0.0597,0.0274,0.2454,0.2563,0.1408,0.0218,0.006,0.2078,0.0058,0.0067,0.0184,0.0039
11:50:29,12:00:24,0.0604,0.0274,0.2301,0.2709,0.1416,0.0216,0.0055,0.2235,0.0057,0.0009,0.0114,0.001
11:52:29,12:00:29,0.0634,0.0277,0.2461,0.2693,0.1466,0.0218,0.0061,0.1982,0.0066,0.0018,0.0114,0.001
11:54:00,12:00:38,0.0601,0.0274,0.2692,0.2644,0.1457,0.0216,0.0063,0.1875,0.0059,0.0007,0.0102,0.001
11:57:02,12:00:44,0.0618,0.028,0.2492,0.2738,0.1434,0.0218,0.0084,0.1867,0.0088,0.0027,0.0144,0.001
11:59:47,12:00:09,0.0646,0.031,0.2249,0.2696,0.145,0.0216,0.0059,0.2011,0.0065,0.0061,0.022,0.0017
11:59:53,12:00:59,0.0609,0.0274,0.2281,0.3023,0.1464,0.0218,0.0059,0.1879,0.0064,0.001,0.0108,0.0011
11:59:58,12:00:42,0.0614,0.0278,0.2246,0.3051,0.1461,0.0219,0.0055,0.1898,0.0059,0.0007,0.0102,0.001
12:00:04,12:01:35,0.0633,0.0282,0.2242,0.3038,0.1437,0.0219,0.0055,0.192,0.0057,0.0007,0.01,0.001
12:00:07,12:01:59,0.0738,0.0313,0.2402,0.2572,0.1573,0.024,0.0055,0.1928,0.0058,0.0007,0.0104,0.001
12:00:18,12:03:07,0.0655,0.0282,0.2408,0.255,0.1675,0.0242,0.006,0.1938,0.0066,0.0007,0.0107,0.001
12:00:24,12:04:01,0.065,0.0274,0.2434,0.258,0.1555,0.023,0.0056,0.2016,0.0059,0.0008,0.0127,0.0011
12:00:29,12:04:48,0.0625,0.0442,0.2324,0.2441,0.1529,0.0229,0.0057,0.2162,0.0061,0.0007,0.0111,0.0012
12:00:38,12:05:13,0.0725,0.0317,0.2418,0.2648,0.1529,0.0232,0.0059,0.1887,0.0061,0.0007,0.0107,0.001
12:00:44,12:05:50,0.0663,0.0281,0.2437,0.2517,0.1562,0.0234,0.0059,0.2042,0.0063,0.0008,0.0123,0.0011
12:00:09,12:06:52,0.0649,0.029,0.2362,0.2573,0.1602,0.0235,0.0055,0.2033,0.0059,0.0011,0.0116,0.0015
12:01:01,12:09:01,0.0664,0.0294,0.2457,0.2467,0.169,0.0241,0.0059,0.1943,0.0063,0.0007,0.0105,0.001
12:00:41,12:10:33,0.0638,0.0282,0.2378,0.259,0.165,0.0239,0.0066,0.1963,0.0066,0.0008,0.011,0.001
12:01:35,12:12:42,0.065,0.0283,0.252,0.2548,0.1575,0.0246,0.0058,0.1918,0.0063,0.0007,0.0119,0.0013
12:02:01,12:14:11,0.0652,0.0281,0.2519,0.2529,0.1618,0.0246,0.0061,0.19,0.0066,0.0007,0.011,0.0011
