start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
15:15:28,15:24:00,0.0266,0.0032,0.1712,0.163,0.0825,0.0112,0.0213,0.4908,0.0213,0.0006,0.0074,0.0009
15:18:03,15:24:06,0.0264,0.0032,0.171,0.1589,0.0814,0.0111,0.0217,0.4957,0.0217,0.0006,0.0074,0.0009
15:18:42,15:24:14,0.0264,0.0032,0.1718,0.1567,0.0818,0.0111,0.0217,0.4969,0.0216,0.0006,0.0073,0.0009
15:20:03,15:24:22,0.0266,0.0032,0.1726,0.1571,0.0825,0.0112,0.0219,0.4941,0.022,0.0006,0.0073,0.0009
15:22:49,15:24:39,0.0272,0.0032,0.1736,0.1623,0.0832,0.0113,0.0215,0.4881,0.0206,0.0006,0.0075,0.0009
15:23:24,15:24:14,0.027,0.0036,0.173,0.168,0.0852,0.0113,0.0192,0.4843,0.0192,0.0007,0.0076,0.0009
15:23:31,15:25:52,0.0295,0.0034,0.1819,0.1709,0.0974,0.0122,0.0199,0.4557,0.0199,0.0006,0.0077,0.0009
15:23:37,15:26:15,0.0432,0.0078,0.1905,0.1689,0.0962,0.0134,0.0195,0.432,0.0193,0.0006,0.0077,0.0009
15:23:43,15:27:22,0.0327,0.0156,0.1877,0.1567,0.1044,0.014,0.0194,0.4408,0.0196,0.0006,0.0076,0.0009
15:23:52,15:28:33,0.0304,0.0082,0.1864,0.1776,0.0992,0.0124,0.0201,0.4365,0.0198,0.0006,0.0079,0.0009
15:24:00,15:29:41,0.0311,0.0046,0.1833,0.1748,0.0954,0.0127,0.0201,0.4455,0.0201,0.0011,0.0097,0.0016
15:24:06,15:31:58,0.0321,0.0036,0.1972,0.1555,0.0958,0.0138,0.0197,0.4533,0.0195,0.0006,0.008,0.0009
15:24:14,15:33:32,0.033,0.0066,0.1864,0.1563,0.0944,0.0134,0.0202,0.4586,0.0204,0.0006,0.0089,0.0012
15:24:22,15:34:49,0.0313,0.0032,0.186,0.1754,0.0969,0.0124,0.0205,0.4447,0.0198,0.0006,0.0083,0.0009
15:24:39,15:35:00,0.0279,0.0032,0.196,0.1782,0.0874,0.0117,0.0208,0.4446,0.0208,0.0006,0.0079,0.0009
15:24:14,15:36:58,0.0304,0.0032,0.1824,0.1744,0.0926,0.0129,0.0196,0.4553,0.0199,0.0006,0.0078,0.0009
15:25:52,15:39:09,0.0316,0.0034,0.2188,0.1533,0.0956,0.014,0.0198,0.4338,0.02,0.0006,0.0082,0.0009
15:26:15,15:40:00,0.0288,0.0032,0.1924,0.1968,0.0873,0.012,0.0196,0.4316,0.0193,0.0006,0.0075,0.0009
15:27:22,15:42:17,0.0314,0.0032,0.2031,0.169,0.0961,0.0137,0.0195,0.4349,0.0196,0.0006,0.008,0.0009
15:28:33,15:43:00,0.0286,0.0038,0.2141,0.1876,0.0842,0.0118,0.0192,0.4228,0.019,0.0006,0.0074,0.0009
15:29:43,15:46:14,0.0343,0.0032,0.195,0.1556,0.1044,0.015,0.0199,0.443,0.0198,0.0006,0.0083,0.0009
15:32:00,15:47:42,0.03169014084507042,0.0034144259496372174,0.19270166453265045,0.15973111395646608,0.09539052496798976,0.01365770379854887,0.020593256508749467,0.4527315407597098,0.020486555697823303,0.0006402048655569782,0.008002560819462228,0.0009603072983354673
