start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
11:25:15,11:36:26,0.0385,0.0072,0.2036,0.0728,0.1153,0.0176,0.0039,0.5296,0.004,0.0001,0.0051,0.0023
11:27:00,11:38:20,0.039,0.0059,0.2041,0.0674,0.1192,0.0173,0.0041,0.5331,0.0038,0.0001,0.0044,0.0016
11:28:11,11:38:54,0.0365,0.006,0.2015,0.0894,0.1093,0.0158,0.0044,0.5271,0.0042,0.0001,0.0041,0.0016
11:29:31,11:39:01,0.0365,0.0064,0.1924,0.0814,0.1085,0.0158,0.0038,0.5452,0.004,0.0001,0.0043,0.0016
11:31:12,11:40:11,0.0364,0.006,0.1952,0.0748,0.1102,0.016,0.0048,0.5451,0.0049,0.0002,0.0048,0.0016
11:32:32,11:40:01,0.0363,0.0062,0.2085,0.0637,0.1107,0.016,0.0038,0.5454,0.0037,0.0001,0.004,0.0016
11:33:01,11:41:32,0.0363,0.0059,0.194,0.0682,0.1095,0.0159,0.0038,0.5566,0.0038,0.0001,0.0043,0.0016
11:34:14,11:43:12,0.0384,0.0059,0.2026,0.0671,0.1181,0.0171,0.004,0.5367,0.004,0.0001,0.0044,0.0016
11:34:10,11:45:01,0.0392,0.0065,0.2044,0.0672,0.1191,0.0172,0.0039,0.5322,0.0043,0.0001,0.0043,0.0016
11:35:11,11:46:09,0.0375,0.0059,0.2003,0.0684,0.1134,0.0165,0.0044,0.5425,0.0041,0.0002,0.0051,0.0017
11:36:26,11:45:58,0.0366,0.0067,0.2147,0.0863,0.1044,0.0155,0.0038,0.5211,0.0036,0.0006,0.0049,0.0018
11:38:21,11:46:34,0.0368,0.0071,0.1965,0.0775,0.1117,0.0167,0.0036,0.5402,0.0036,0.0001,0.004,0.0022
11:38:54,11:47:25,0.0389,0.0087,0.2057,0.0682,0.1128,0.0187,0.0039,0.5307,0.004,0.0001,0.0052,0.0031
11:39:01,11:49:08,0.0384,0.0059,0.2041,0.0675,0.1207,0.0171,0.004,0.5319,0.0041,0.0001,0.0046,0.0016
11:40:11,11:50:52,0.0386,0.0059,0.2108,0.0661,0.1175,0.0172,0.0038,0.5303,0.0039,0.0001,0.0042,0.0016
11:40:01,11:51:32,0.0365,0.0059,0.2097,0.0638,0.1094,0.0159,0.004,0.5445,0.0039,0.0001,0.0047,0.0016
11:41:34,11:53:00,0.0379,0.0059,0.2005,0.0655,0.1167,0.0169,0.004,0.5423,0.0042,0.0001,0.0044,0.0016
11:43:12,11:54:48,0.0387,0.0059,0.2038,0.0667,0.1193,0.0173,0.0038,0.5348,0.0038,0.0001,0.0042,0.0016
11:44:54,11:56:39,0.0388,0.0059,0.2047,0.0667,0.1181,0.0172,0.004,0.5345,0.004,0.0001,0.0044,0.0016
11:46:09,11:58:00,0.0383,0.0059,0.2032,0.0685,0.1179,0.0171,0.0041,0.5345,0.0041,0.0001,0.0047,0.0016
11:45:58,11:59:28,0.0384,0.0065,0.1984,0.0659,0.1142,0.0165,0.0041,0.546,0.0038,0.0001,0.0045,0.0016
11:46:34,12:00:49,0.0377,0.0059,0.2164,0.0668,0.1155,0.0167,0.0039,0.5273,0.0037,0.0001,0.0044,0.0016
11:47:22,12:02:00,0.0381,0.0059,0.2165,0.0653,0.1159,0.017,0.004,0.5268,0.0044,0.0001,0.0044,0.0016
11:49:08,12:04:11,0.0388,0.0059,0.205,0.0665,0.1198,0.0173,0.004,0.5325,0.004,0.0001,0.0045,0.0016
11:50:52,12:06:00,0.0386,0.0059,0.2054,0.066,0.1191,0.0172,0.004,0.5336,0.0041,0.0001,0.0044,0.0016
11:51:32,12:06:31,0.0358,0.0059,0.2069,0.0734,0.1076,0.0158,0.0041,0.5406,0.004,0.0001,0.0042,0.0016
11:53:00,12:06:36,0.0416,0.0095,0.2149,0.0707,0.1073,0.0163,0.0036,0.5252,0.0049,0.0001,0.0043,0.0016
11:54:49,12:06:38,0.0403,0.0198,0.1931,0.0652,0.1045,0.0152,0.0042,0.5476,0.0044,0.0001,0.004,0.0016
11:56:39,12:06:41,0.0352,0.0089,0.2152,0.0722,0.1088,0.0153,0.0036,0.5315,0.0036,0.0001,0.004,0.0016
11:58:00,12:06:47,0.0371,0.0103,0.2179,0.0719,0.1096,0.0151,0.0045,0.5243,0.0036,0.0001,0.004,0.0016
11:59:28,12:06:53,0.0373,0.0128,0.2027,0.0768,0.1049,0.0154,0.0043,0.5358,0.0037,0.0003,0.0044,0.0016
12:00:49,12:06:55,0.0347,0.0059,0.1995,0.0745,0.1051,0.0151,0.0039,0.5519,0.0037,0.0001,0.004,0.0016
12:02:00,12:06:59,0.0349,0.0063,0.1958,0.0786,0.1047,0.0152,0.0038,0.5455,0.0036,0.0031,0.0062,0.0023
12:04:08,12:07:04,0.0346,0.0059,0.2075,0.0778,0.1036,0.0152,0.0038,0.5423,0.0036,0.0001,0.004,0.0016
12:06:00,12:07:10,0.0347,0.0059,0.1897,0.0723,0.1026,0.0151,0.004,0.563,0.0037,0.0012,0.0058,0.002
12:06:31,12:06:47,0.0351,0.0059,0.2073,0.0694,0.1066,0.0152,0.0037,0.5475,0.0036,0.0001,0.004,0.0016
12:06:36,12:07:16,0.0347,0.0059,0.1882,0.0847,0.1045,0.0151,0.0036,0.5537,0.0037,0.0003,0.004,0.0016
12:06:38,12:06:58,0.0378,0.0059,0.2,0.0751,0.1058,0.0152,0.0042,0.5421,0.0041,0.0004,0.0076,0.0018
12:06:41,12:07:24,0.0349,0.0062,0.2102,0.0743,0.1048,0.0152,0.0045,0.5399,0.0043,0.0001,0.004,0.0016
12:06:47,12:07:27,0.0347,0.0059,0.2214,0.0708,0.1026,0.0152,0.0038,0.536,0.0039,0.0001,0.004,0.0016
12:06:53,12:07:31,0.0345,0.006,0.2007,0.0858,0.1046,0.0152,0.0055,0.5364,0.0055,0.0001,0.0041,0.0016
12:06:55,12:07:36,0.0394,0.0072,0.1898,0.0838,0.1079,0.0153,0.0051,0.5297,0.0054,0.003,0.0111,0.0023
12:06:59,12:07:40,0.035,0.0065,0.1924,0.1023,0.1075,0.0152,0.004,0.5253,0.0039,0.0015,0.0048,0.0016
12:07:04,12:07:21,0.0353,0.0068,0.1888,0.1084,0.1045,0.0152,0.0036,0.5278,0.0038,0.0001,0.004,0.0017
12:07:10,12:07:49,0.0351,0.0062,0.1902,0.1083,0.1045,0.0153,0.0039,0.5267,0.0039,0.0001,0.0042,0.0016
12:06:46,12:07:29,0.0354,0.0064,0.1904,0.0698,0.1069,0.0154,0.004,0.5616,0.0041,0.0001,0.0043,0.0016
12:07:16,12:07:36,0.0357,0.0061,0.188,0.0766,0.1041,0.0152,0.0036,0.5612,0.0037,0.0001,0.0041,0.0016
12:06:58,12:08:09,0.0348,0.0059,0.1889,0.1104,0.1039,0.0153,0.0036,0.5277,0.0036,0.0001,0.0042,0.0016
12:07:24,12:08:28,0.0387,0.0073,0.1914,0.1067,0.1064,0.0157,0.0038,0.5207,0.0036,0.0001,0.004,0.0016
12:07:27,12:08:36,0.0423,0.0086,0.1961,0.0715,0.1094,0.0163,0.0036,0.5427,0.0036,0.0001,0.0042,0.0016
12:07:31,12:08:34,0.0412,0.0071,0.2004,0.0713,0.1156,0.0166,0.0038,0.5343,0.0038,0.0001,0.0042,0.0016
12:07:36,12:09:38,0.0385,0.0062,0.1962,0.0741,0.1182,0.0168,0.0036,0.5363,0.0039,0.0001,0.0045,0.0016
12:07:40,12:09:58,0.0387,0.0059,0.2068,0.0787,0.1087,0.0156,0.0042,0.5293,0.0041,0.0002,0.0061,0.0017
12:07:21,12:10:08,0.0362,0.0067,0.1926,0.0896,0.106,0.0161,0.004,0.5387,0.0036,0.0001,0.0044,0.002
