start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
09:14:00,09:39:51,0.0697,0.0038,0.3472,0.1322,0.2064,0.032,0.0067,0.1891,0.0064,0.0,0.0065,0.0
09:16:01,09:42:00,0.0676,0.0042,0.3413,0.1418,0.2021,0.031,0.0074,0.1901,0.0077,0.0001,0.0067,0.0
09:19:30,09:44:24,0.0667,0.0038,0.3675,0.1287,0.1984,0.0307,0.0062,0.186,0.0062,0.0,0.0058,0.0
09:21:41,09:47:46,0.0703,0.0044,0.3492,0.1291,0.2075,0.032,0.0065,0.1885,0.0064,0.0,0.0061,0.0
09:20:01,09:50:50,0.0688,0.0038,0.344,0.1277,0.2046,0.0318,0.0066,0.2002,0.0064,0.0,0.0061,0.0
09:24:59,09:52:56,0.0672,0.0038,0.3455,0.1273,0.1998,0.0307,0.0065,0.2064,0.0067,0.0,0.0061,0.0
09:28:26,09:55:42,0.0681,0.0038,0.3651,0.1265,0.2027,0.0313,0.0064,0.1836,0.0065,0.0,0.006,0.0
09:31:39,09:58:20,0.068,0.0038,0.3637,0.1263,0.2022,0.0313,0.0064,0.1859,0.0064,0.0,0.006,0.0
09:33:25,10:00:33,0.0673,0.0042,0.3598,0.1368,0.199,0.0307,0.0064,0.1837,0.0063,0.0,0.0058,0.0
09:36:37,10:03:19,0.0693,0.0044,0.3521,0.1286,0.2038,0.0315,0.0065,0.1912,0.0065,0.0,0.0061,0.0
09:39:51,10:06:20,0.0688,0.0038,0.3582,0.1268,0.206,0.0316,0.0064,0.1859,0.0065,0.0,0.006,0.0
09:42:00,10:08:09,0.0724,0.0058,0.3501,0.1307,0.1988,0.0303,0.0067,0.1886,0.0062,0.0017,0.0077,0.001
09:44:25,10:08:16,0.0647,0.0146,0.3501,0.15,0.189,0.0283,0.0059,0.1852,0.006,0.0006,0.0056,0.0
09:47:46,10:08:26,0.0644,0.004,0.3226,0.1316,0.1841,0.0285,0.0058,0.2472,0.0058,0.0,0.006,0.0
09:50:50,10:08:33,0.0619,0.0042,0.3338,0.1245,0.197,0.0283,0.0058,0.2331,0.0058,0.0,0.0056,0.0
09:52:56,10:10:08,0.067,0.0047,0.3446,0.1349,0.1962,0.031,0.0067,0.2014,0.0074,0.0,0.0061,0.0
09:55:42,10:10:13,0.0641,0.0047,0.3465,0.1295,0.1864,0.0285,0.0067,0.2197,0.0075,0.0003,0.0061,0.0
09:58:20,10:10:17,0.065,0.0108,0.3607,0.1348,0.1875,0.0283,0.0069,0.1948,0.0058,0.0,0.0054,0.0
10:00:33,10:10:22,0.0661,0.0136,0.3492,0.14,0.1853,0.0283,0.0065,0.199,0.0062,0.0,0.0057,0.0001
