start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
09:13:59,09:41:22,0.0711,0.004,0.3328,0.1326,0.215,0.0329,0.0078,0.1888,0.0078,0.0001,0.007,0.0001
09:17:21,09:44:20,0.0728,0.0034,0.3083,0.1275,0.2205,0.0342,0.008,0.2101,0.0078,0.0001,0.0072,0.0001
09:19:47,09:46:29,0.071,0.0034,0.3112,0.1295,0.2149,0.0332,0.0082,0.2121,0.0082,0.0002,0.008,0.0001
09:23:01,09:46:53,0.0692,0.0042,0.3008,0.1485,0.2079,0.0312,0.0076,0.2075,0.0072,0.0028,0.0124,0.0007
09:24:03,09:47:28,0.0673,0.0034,0.3248,0.1328,0.2061,0.0313,0.0076,0.1945,0.0076,0.0055,0.018,0.0011
09:26:28,09:48:57,0.074,0.0035,0.3206,0.1286,0.2126,0.0324,0.0076,0.1966,0.0075,0.001,0.0153,0.0003
09:30:07,09:49:19,0.0714,0.0055,0.3089,0.1454,0.2102,0.0317,0.009,0.1987,0.009,0.0006,0.0089,0.0007
09:33:09,09:49:22,0.0768,0.0113,0.3092,0.1355,0.2068,0.0314,0.0073,0.2052,0.0088,0.0004,0.0072,0.0001
09:36:03,09:49:22,0.0702,0.0187,0.3145,0.1262,0.2007,0.031,0.0081,0.2142,0.0079,0.0019,0.0065,0.0001
09:39:26,09:49:31,0.0695,0.0118,0.32,0.1325,0.204,0.0309,0.0085,0.2088,0.0073,0.0001,0.0065,0.0001
09:41:16,09:49:32,0.0665,0.0034,0.3067,0.1464,0.203,0.0307,0.0078,0.2056,0.0074,0.0056,0.0141,0.0028
09:44:20,09:49:47,0.066,0.0034,0.3192,0.1485,0.2006,0.0308,0.0079,0.2094,0.0073,0.0001,0.0067,0.0001
09:46:29,09:49:37,0.0669,0.0038,0.2974,0.1359,0.2002,0.0307,0.0074,0.2432,0.0072,0.0004,0.0067,0.0002
09:46:53,09:49:53,0.0702,0.0037,0.3016,0.154,0.2035,0.0308,0.008,0.2096,0.0081,0.0012,0.0092,0.0001
09:47:28,09:49:58,0.0678,0.0051,0.3063,0.1614,0.2106,0.0307,0.0084,0.1945,0.0081,0.0001,0.0069,0.0001
09:48:57,09:50:07,0.0666,0.0039,0.3306,0.1404,0.2006,0.0309,0.0104,0.1992,0.0101,0.0003,0.0069,0.0001
09:49:19,09:50:11,0.0717,0.0046,0.3062,0.1517,0.2041,0.0307,0.0081,0.1853,0.0081,0.007,0.0218,0.0007
09:49:22,09:50:23,0.0674,0.0039,0.292,0.1818,0.2091,0.0309,0.0073,0.1926,0.0074,0.0004,0.0069,0.0003
09:49:26,09:51:32,0.0698,0.0036,0.3197,0.1351,0.2222,0.032,0.0081,0.1935,0.008,0.0001,0.0077,0.0002
09:49:31,09:52:49,0.069,0.0035,0.2985,0.127,0.2195,0.032,0.0076,0.2275,0.0078,0.0001,0.0074,0.0001
09:49:35,09:54:16,0.0695,0.0035,0.3225,0.1283,0.2173,0.0328,0.0081,0.2027,0.0078,0.0001,0.0073,0.0001
09:49:47,09:55:05,0.0693,0.004,0.3066,0.1472,0.2181,0.0316,0.0076,0.1996,0.0077,0.0001,0.0081,0.0001
09:49:37,09:56:05,0.0726,0.0054,0.3127,0.1482,0.2156,0.0318,0.0079,0.1903,0.0076,0.0002,0.0076,0.0001
09:49:56,09:57:32,0.0748,0.0128,0.3064,0.134,0.2259,0.0323,0.0075,0.1917,0.0076,0.0001,0.0068,0.0001
09:49:59,09:59:59,0.0715,0.0034,0.3093,0.1265,0.2328,0.0338,0.0079,0.1997,0.0078,0.0001,0.0071,0.0001
09:49:57,10:01:43,0.0713,0.0042,0.3274,0.136,0.2194,0.0329,0.0077,0.1863,0.0079,0.0001,0.0067,0.0001
