start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
10:54:50,11:27:30,0.079,0.0022,0.2748,0.1203,0.2208,0.0371,0.0024,0.259,0.0024,0.0001,0.0019,0.0
10:57:06,11:31:46,0.0825,0.0022,0.2912,0.12,0.2298,0.0394,0.002,0.2289,0.0024,0.0001,0.0015,0.0
11:00:18,11:35:52,0.0832,0.003,0.2775,0.123,0.2333,0.0394,0.0021,0.2343,0.0023,0.0001,0.0018,0.0
11:03:24,11:37:10,0.0756,0.0023,0.2547,0.1337,0.21,0.0359,0.003,0.2795,0.0031,0.0002,0.002,0.0
11:07:05,11:39:33,0.0782,0.0025,0.2628,0.1238,0.2203,0.0375,0.002,0.2691,0.0022,0.0001,0.0015,0.0
11:08:20,11:44:40,0.0847,0.0022,0.2788,0.1233,0.2364,0.0406,0.002,0.2281,0.0023,0.0001,0.0015,0.0
11:12:35,11:48:42,0.0845,0.0022,0.2786,0.1236,0.2339,0.0403,0.0021,0.2308,0.0023,0.0001,0.0016,0.0
11:16:47,11:54:27,0.0845,0.0028,0.2794,0.1215,0.2344,0.0402,0.002,0.2312,0.0022,0.0001,0.0017,0.0
11:20:02,11:57:00,0.0789,0.0022,0.2922,0.1221,0.2191,0.0374,0.0024,0.2409,0.0025,0.0001,0.0022,0.0
11:25:15,11:58:48,0.0771,0.0022,0.259,0.1154,0.2159,0.0366,0.0021,0.2875,0.0023,0.0001,0.0018,0.0
11:27:30,12:03:43,0.0843,0.0022,0.2771,0.1222,0.2334,0.0402,0.0022,0.2334,0.0025,0.0002,0.0022,0.0001
11:31:46,12:05:11,0.0845,0.0156,0.274,0.1276,0.2181,0.0362,0.0023,0.2323,0.0025,0.0019,0.0039,0.0011
11:35:53,12:07:49,0.0793,0.0026,0.265,0.1327,0.2224,0.0376,0.003,0.2525,0.0027,0.0002,0.002,0.0
11:37:10,12:08:44,0.0744,0.0022,0.3064,0.1128,0.2081,0.0354,0.002,0.2548,0.0022,0.0001,0.0016,0.0
