start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
17:12:00,17:38:46,0.0695,0.0056,0.3477,0.106,0.1888,0.0394,0.0085,0.2155,0.0083,0.0003,0.0102,0.0002
17:15:43,17:40:43,0.0695,0.0044,0.3726,0.0927,0.1915,0.0306,0.0076,0.2138,0.0073,0.0002,0.0096,0.0002
17:19:14,17:43:26,0.0695,0.0044,0.349,0.0906,0.1916,0.031,0.0075,0.2384,0.008,0.0002,0.0096,0.0002
17:22:50,17:47:07,0.0722,0.0044,0.3569,0.0936,0.199,0.0324,0.0077,0.2158,0.0077,0.0002,0.0099,0.0002
17:26:09,17:50:37,0.0717,0.0046,0.3574,0.0942,0.2023,0.0325,0.0077,0.2119,0.0076,0.0002,0.0096,0.0003
17:28:47,17:54:17,0.0728,0.005,0.3565,0.0953,0.1989,0.0324,0.0076,0.2137,0.0077,0.0002,0.0097,0.0002
17:30:43,17:57:03,0.0699,0.0044,0.363,0.0967,0.1921,0.0313,0.0078,0.2173,0.0075,0.0002,0.0096,0.0002
17:31:41,17:57:09,0.0643,0.0044,0.3356,0.1114,0.1758,0.0283,0.0069,0.256,0.0069,0.0008,0.0094,0.0002
17:33:13,17:57:11,0.0653,0.005,0.333,0.0869,0.1783,0.028,0.0069,0.2805,0.0069,0.0002,0.0088,0.0002
17:37:00,17:58:54,0.0676,0.0044,0.3545,0.0908,0.1955,0.0301,0.0074,0.2324,0.0075,0.0002,0.0094,0.0002
17:38:42,18:02:03,0.0709,0.0044,0.3709,0.0932,0.194,0.0317,0.0076,0.2092,0.0079,0.0002,0.0098,0.0002
17:40:43,18:04:43,0.0697,0.0044,0.3751,0.091,0.1924,0.0312,0.0075,0.2117,0.0073,0.0002,0.0093,0.0002
17:43:26,18:06:40,0.0681,0.0044,0.3973,0.0888,0.1876,0.0304,0.0071,0.1994,0.0073,0.0002,0.0092,0.0002
17:47:07,18:09:03,0.0702,0.0054,0.3477,0.1069,0.1916,0.0308,0.0086,0.2198,0.0085,0.0003,0.01,0.0002
17:50:42,18:12:32,0.0719,0.0044,0.3582,0.0937,0.1992,0.0323,0.0079,0.2147,0.0077,0.0002,0.0096,0.0002
17:54:19,18:16:22,0.0723,0.0044,0.3589,0.0942,0.1987,0.0324,0.0077,0.2137,0.0077,0.0002,0.0096,0.0002
17:57:03,18:20:02,0.072,0.0044,0.3564,0.0936,0.1992,0.0324,0.0075,0.2166,0.0078,0.0002,0.0097,0.0002
17:57:09,18:23:12,0.071,0.0044,0.3699,0.0929,0.1952,0.0319,0.0078,0.2096,0.0075,0.0002,0.0094,0.0002
17:57:11,18:26:51,0.0728,0.005,0.3581,0.0945,0.1991,0.0323,0.0075,0.2133,0.0075,0.0002,0.0095,0.0002
17:58:54,18:28:05,0.0735,0.013,0.3631,0.0974,0.1866,0.0295,0.0075,0.2075,0.0073,0.0019,0.0115,0.0012
18:02:03,18:30:44,0.0714,0.0086,0.3667,0.0903,0.1972,0.0312,0.0075,0.2096,0.0078,0.0002,0.0093,0.0002
18:04:43,18:32:36,0.0713,0.0128,0.3704,0.0929,0.1888,0.0302,0.0078,0.2061,0.0073,0.0013,0.0105,0.0006
18:06:40,18:35:10,0.0721,0.0068,0.352,0.0935,0.1952,0.031,0.0077,0.2233,0.0084,0.0002,0.0096,0.0002
18:09:04,18:37:51,0.0701,0.0048,0.3523,0.1052,0.1932,0.0313,0.0083,0.2164,0.0082,0.0003,0.0097,0.0002
18:12:32,18:41:00,0.0713,0.005,0.367,0.0937,0.1958,0.0316,0.0078,0.2103,0.0076,0.0002,0.0095,0.0002
18:16:22,18:43:12,0.0693,0.0044,0.3506,0.0917,0.1913,0.0309,0.0075,0.2366,0.0077,0.0002,0.0096,0.0002
18:19:57,18:47:00,0.0721,0.0044,0.3583,0.093,0.1988,0.0324,0.0077,0.2156,0.0077,0.0002,0.0096,0.0002
18:23:13,18:50:13,0.0723,0.0044,0.3595,0.095,0.1999,0.0324,0.0077,0.2114,0.0076,0.0002,0.0094,0.0002
18:26:52,18:54:01,0.0723,0.005,0.3554,0.0945,0.1978,0.0321,0.0076,0.2175,0.0077,0.0002,0.0097,0.0002
18:28:05,18:57:21,0.0713,0.0044,0.3671,0.0924,0.1957,0.0319,0.0079,0.2118,0.0075,0.0002,0.0096,0.0002
18:30:44,18:59:52,0.0701,0.0044,0.35,0.0913,0.1925,0.0311,0.0075,0.2355,0.0076,0.0002,0.0096,0.0002
18:32:33,19:03:05,0.0709,0.0044,0.37,0.093,0.1947,0.0318,0.0075,0.2098,0.0079,0.0002,0.0096,0.0002
18:35:10,19:06:50,0.0723,0.0044,0.3583,0.0935,0.1984,0.0325,0.0077,0.2156,0.0075,0.0002,0.0094,0.0002
18:38:00,19:08:48,0.0694,0.0054,0.3497,0.1088,0.1903,0.0303,0.0086,0.2185,0.0084,0.0003,0.0101,0.0002
18:40:47,19:12:40,0.0725,0.0044,0.3577,0.0943,0.1998,0.0326,0.0077,0.2132,0.0078,0.0002,0.0096,0.0002
18:43:12,19:16:12,0.072,0.0044,0.3583,0.0943,0.1973,0.0323,0.0075,0.2162,0.0077,0.0002,0.0096,0.0002
18:47:00,19:19:52,0.072,0.0044,0.3576,0.0939,0.1989,0.0324,0.0077,0.2156,0.0076,0.0002,0.0095,0.0002
18:50:13,19:23:00,0.0707,0.0044,0.3673,0.0926,0.1939,0.0317,0.0075,0.2141,0.0077,0.0002,0.0097,0.0002
18:54:02,19:26:43,0.0731,0.005,0.3587,0.0954,0.1983,0.0325,0.0078,0.2118,0.0075,0.0002,0.0095,0.0002
18:57:20,19:29:31,0.0706,0.0044,0.3676,0.0944,0.1953,0.0313,0.0075,0.2113,0.0076,0.0002,0.0096,0.0002
18:59:54,19:32:13,0.0699,0.0044,0.3794,0.0919,0.1914,0.0313,0.0075,0.2067,0.0077,0.0002,0.0094,0.0002
19:03:01,19:34:55,0.072,0.0068,0.3523,0.0934,0.1948,0.0312,0.008,0.2237,0.008,0.0002,0.0094,0.0002
19:06:50,19:37:29,0.0699,0.0048,0.3512,0.1058,0.1928,0.031,0.0085,0.2172,0.0084,0.0003,0.0099,0.0002
19:08:48,19:40:45,0.0721,0.005,0.3586,0.0939,0.1971,0.0319,0.0079,0.2156,0.0077,0.0002,0.0098,0.0002
19:12:39,19:42:51,0.0688,0.0044,0.3582,0.0906,0.1886,0.0305,0.0074,0.2342,0.0075,0.0002,0.0094,0.0002
19:16:15,19:46:26,0.0719,0.0044,0.3589,0.0941,0.1982,0.0323,0.0078,0.2145,0.0079,0.0002,0.0096,0.0002
19:19:56,19:50:03,0.0721,0.0044,0.3591,0.0939,0.1984,0.0324,0.0077,0.2142,0.0078,0.0002,0.0096,0.0002
19:23:00,19:53:37,0.0726,0.005,0.3568,0.0961,0.1997,0.0326,0.0076,0.2122,0.0075,0.0002,0.0095,0.0002
19:26:44,19:57:01,0.0714,0.0044,0.3623,0.0926,0.1957,0.032,0.0077,0.2161,0.0077,0.0002,0.0097,0.0002
19:29:32,19:58:52,0.0683,0.0044,0.3504,0.0999,0.1887,0.0303,0.0076,0.2331,0.0074,0.0002,0.0095,0.0002
19:32:13,20:01:59,0.0706,0.0044,0.3689,0.092,0.1946,0.0316,0.0075,0.2127,0.0078,0.0002,0.0095,0.0002
19:33:01,20:03:07,0.0746,0.0172,0.3584,0.0974,0.1882,0.0295,0.0075,0.2057,0.0071,0.0019,0.0113,0.0012
19:37:30,20:06:56,0.0725,0.0044,0.3588,0.0935,0.2018,0.0325,0.0075,0.2115,0.0077,0.0002,0.0094,0.0002
19:40:45,20:09:11,0.0699,0.0054,0.3497,0.1063,0.1912,0.0306,0.0086,0.2192,0.0085,0.0003,0.0101,0.0002
19:42:51,20:11:57,0.0736,0.0128,0.3555,0.0945,0.1963,0.0314,0.0075,0.2087,0.0075,0.0013,0.0103,0.0006
19:46:27,20:15:42,0.0722,0.0044,0.3588,0.0942,0.1984,0.0324,0.0077,0.2141,0.0078,0.0002,0.0096,0.0002
19:50:03,20:19:23,0.0721,0.0044,0.3579,0.0942,0.1984,0.0324,0.0075,0.2153,0.0077,0.0002,0.0097,0.0002
19:53:43,20:23:04,0.0722,0.0044,0.3583,0.0948,0.198,0.0325,0.0077,0.2144,0.0077,0.0002,0.0096,0.0002
19:57:01,20:26:43,0.0731,0.005,0.3578,0.0952,0.1983,0.0325,0.0076,0.2131,0.0075,0.0002,0.0095,0.0002
19:58:54,20:30:19,0.0721,0.0044,0.3565,0.0941,0.1981,0.0322,0.0079,0.2165,0.008,0.0002,0.0098,0.0002
20:02:00,20:33:00,0.0695,0.0044,0.3775,0.0912,0.191,0.0311,0.0073,0.2108,0.0073,0.0002,0.0095,0.0002
20:03:07,20:35:45,0.0727,0.0068,0.3536,0.0942,0.1959,0.0313,0.0084,0.2192,0.0082,0.0002,0.0093,0.0002
20:06:56,20:38:13,0.07,0.0048,0.3509,0.1059,0.1923,0.0312,0.0083,0.2177,0.0085,0.0003,0.0099,0.0002
20:09:11,20:40:37,0.0705,0.005,0.3608,0.0948,0.193,0.0307,0.0079,0.2198,0.0074,0.0002,0.0097,0.0002
20:11:57,20:43:00,0.07027907924220819,0.004481564473416175,0.35567325320839277,0.09258504787125688,0.1933183947850886,0.03137095131391322,0.007639030352413934,0.22672642085964556,0.007842737828478306,0.00020370747606437156,0.009676105113057649,0.00020370747606437156
