start_time,end_time,FILE-CREATE,FILE-DELETE,FILE-MODIFY,FILE-READ,FILE-WRITE,FILE-RENAME,PROCESS-CREATE,PROCESS-OPEN,PROCESS-TERMINATE,REGISTRY-ADD,REGISTRY-EDIT,REGISTRY-REMOVE
02:23:15,02:33:50,0.0471,0.0328,0.2753,0.1551,0.1098,0.0134,0.0071,0.3355,0.0064,0.0072,0.0082,0.0021
02:24:26,02:33:36,0.0504,0.033,0.2823,0.1611,0.1111,0.0133,0.0076,0.3113,0.007,0.0062,0.0139,0.0028
02:27:55,02:34:00,0.0472,0.0329,0.2954,0.1572,0.1169,0.0133,0.008,0.308,0.0067,0.0044,0.0079,0.0021
02:28:48,02:34:09,0.0477,0.0338,0.303,0.1503,0.1132,0.0134,0.0085,0.3079,0.0077,0.0044,0.008,0.0021
02:31:58,02:34:10,0.0515,0.0346,0.2777,0.1708,0.1106,0.0133,0.0089,0.2877,0.0089,0.0109,0.0224,0.0027
02:33:20,02:34:17,0.0493,0.0341,0.2648,0.2073,0.1159,0.0135,0.0072,0.2857,0.0067,0.0047,0.0085,0.0023
02:33:25,02:35:48,0.0507,0.033,0.2809,0.1433,0.1375,0.0149,0.0074,0.3096,0.0071,0.0044,0.0091,0.0021
02:33:31,02:37:24,0.0512,0.034,0.2774,0.1528,0.1295,0.0154,0.0083,0.308,0.0079,0.0045,0.0089,0.0021
02:33:38,02:39:35,0.0524,0.0328,0.2855,0.1395,0.139,0.0159,0.0076,0.3048,0.0072,0.0044,0.0088,0.0021
02:33:21,02:39:52,0.048,0.0328,0.2984,0.165,0.1136,0.0135,0.0072,0.2992,0.0064,0.0044,0.0093,0.0022
02:33:50,02:40:36,0.058,0.042,0.293,0.1416,0.1248,0.0141,0.0075,0.2964,0.0068,0.0045,0.0092,0.0021
02:33:36,02:41:45,0.0495,0.035,0.2926,0.1456,0.1266,0.0146,0.0073,0.3075,0.0066,0.0044,0.0082,0.0021
