file-execve,file-access,file-open,file-fstat,file-mmap2,file-close,file-read,file-stat,file-write,file-unlink,file-bind,file-listen,file-chmod,file-connect,file-writev,file-recv,file-ftruncate,file-sendmsg,file-send,file-recvmsg,file-accept,file-sendto,file-recvfrom,file-truncate,process-clone,process-waitpid
0.0011,0.0324,0.4453,0.0927,0.02,0.0861,0.0971,0.1656,0.0347,0.0036,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.062,0.4408,0.0962,0.0184,0.0885,0.0992,0.1409,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0434,0.4536,0.0912,0.0193,0.0857,0.1109,0.1253,0.0448,0.0029,0.0001,0.0001,0.0038,0.0012,0.0038,0.0095,0.0001,0.0006,0.0008,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0004
0.0016,0.0318,0.4653,0.0878,0.0211,0.0859,0.0919,0.1553,0.0334,0.0028,0.0002,0.0002,0.0038,0.0013,0.0044,0.0101,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0003
0.0011,0.0469,0.4475,0.0967,0.0194,0.0876,0.1005,0.1305,0.0374,0.0045,0.0001,0.0001,0.0038,0.0016,0.0044,0.0114,0.0001,0.0014,0.0015,0.0022,0.0003,0.0,0.0,0.0,0.0005,0.0005
0.0011,0.0316,0.4767,0.0894,0.0212,0.0803,0.0983,0.1385,0.0375,0.0032,0.0001,0.0001,0.0038,0.0012,0.0038,0.0099,0.0001,0.0007,0.0009,0.0008,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0012,0.0293,0.4664,0.0891,0.0205,0.0898,0.0952,0.1468,0.0329,0.0028,0.0001,0.0001,0.0038,0.0013,0.0038,0.0129,0.0001,0.0007,0.0015,0.0007,0.0001,0.0,0.0,0.0,0.0006,0.0003
0.0011,0.0306,0.507,0.0889,0.0228,0.0803,0.0918,0.1246,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0015,0.0319,0.4892,0.09,0.0231,0.0824,0.0923,0.1309,0.0291,0.0028,0.0001,0.0001,0.0038,0.0017,0.005,0.0117,0.0002,0.0009,0.0012,0.0011,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0014,0.0366,0.4759,0.089,0.0213,0.0845,0.0953,0.1412,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0011,0.0008,0.0018,0.0,0.0,0.0,0.0,0.0008,0.0003
0.0011,0.0267,0.4583,0.0845,0.0184,0.1057,0.1172,0.1352,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0271,0.4666,0.085,0.0189,0.0978,0.1089,0.1416,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0004
0.0011,0.0355,0.4896,0.09,0.0216,0.0823,0.0938,0.1265,0.0288,0.0028,0.0001,0.0001,0.0038,0.0013,0.0054,0.0111,0.0001,0.0021,0.0008,0.0024,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0015,0.0348,0.4402,0.0873,0.0188,0.0831,0.1092,0.1255,0.0491,0.0101,0.0003,0.0001,0.0038,0.0014,0.0054,0.0169,0.0001,0.0038,0.0014,0.0058,0.0001,0.0003,0.0,0.0,0.0006,0.0004
0.0011,0.0275,0.4747,0.0984,0.0194,0.0856,0.0988,0.1416,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0267,0.4871,0.0949,0.0185,0.0832,0.0945,0.1411,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0267,0.4861,0.0957,0.0186,0.0834,0.0948,0.1407,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0013,0.0277,0.4723,0.0992,0.0189,0.0878,0.0963,0.1404,0.0313,0.0029,0.0002,0.0002,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0007,0.0004
0.0011,0.0268,0.4387,0.0974,0.0187,0.0838,0.1097,0.1479,0.0485,0.0028,0.0001,0.0001,0.007,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0012,0.0298,0.4886,0.0895,0.0225,0.0824,0.0962,0.1297,0.0324,0.0055,0.0001,0.0001,0.0043,0.0012,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0011,0.0309,0.4994,0.0895,0.0227,0.0816,0.094,0.1249,0.0287,0.0028,0.0001,0.0001,0.0038,0.0014,0.0049,0.011,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0003
0.0015,0.0346,0.4809,0.0888,0.0233,0.0817,0.0923,0.1323,0.0291,0.0028,0.0001,0.0001,0.0038,0.0015,0.0063,0.0164,0.0002,0.0009,0.0012,0.0012,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0011,0.0361,0.457,0.0915,0.022,0.0893,0.0988,0.1471,0.0309,0.0028,0.0001,0.0001,0.0039,0.0014,0.004,0.0099,0.0001,0.0009,0.0012,0.001,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0324,0.4453,0.0927,0.02,0.0861,0.0971,0.1656,0.0347,0.0036,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.062,0.4408,0.0961,0.0184,0.0884,0.0991,0.1412,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0434,0.4537,0.0913,0.0193,0.0857,0.1109,0.1254,0.0447,0.0029,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0016,0.0315,0.4615,0.0875,0.0209,0.0929,0.0912,0.1552,0.033,0.0028,0.0002,0.0002,0.0038,0.0012,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0011,0.0469,0.4504,0.0961,0.0196,0.0871,0.0998,0.1301,0.0365,0.0042,0.0001,0.0001,0.0038,0.0017,0.005,0.0113,0.0001,0.0014,0.0013,0.0022,0.0002,0.0,0.0,0.0,0.0005,0.0005
0.0011,0.0317,0.4742,0.0902,0.021,0.0811,0.0979,0.1389,0.0377,0.0035,0.0002,0.0001,0.0038,0.0012,0.0038,0.0099,0.0001,0.0007,0.001,0.0009,0.0001,0.0001,0.0,0.0,0.0005,0.0003
0.0012,0.0295,0.4683,0.0893,0.0207,0.0899,0.0945,0.1468,0.0319,0.0028,0.0001,0.0001,0.0038,0.0013,0.0038,0.0123,0.0001,0.0007,0.0012,0.0007,0.0001,0.0,0.0,0.0,0.0006,0.0003
0.0011,0.0306,0.507,0.0889,0.0228,0.0803,0.0918,0.1246,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0015,0.0303,0.4902,0.0899,0.0234,0.0823,0.0922,0.1308,0.0294,0.0028,0.0001,0.0001,0.0038,0.0017,0.005,0.012,0.0002,0.0009,0.0012,0.0012,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0014,0.0382,0.4755,0.0891,0.0213,0.0839,0.095,0.1411,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0011,0.0008,0.0015,0.0,0.0,0.0,0.0,0.0008,0.0003
0.0011,0.0267,0.4583,0.0845,0.0184,0.1057,0.1172,0.1352,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0271,0.4654,0.0849,0.0188,0.0984,0.1095,0.1418,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0095,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0004
