file-execve,file-access,file-open,file-fstat,file-mmap2,file-close,file-read,file-stat,file-write,file-unlink,file-bind,file-listen,file-chmod,file-connect,file-writev,file-recv,file-ftruncate,file-sendmsg,file-send,file-recvmsg,file-accept,file-sendto,file-recvfrom,file-truncate,process-clone,process-waitpid
0.0011,0.0324,0.4453,0.0926,0.0205,0.086,0.0985,0.1661,0.0347,0.0036,0.0001,0.0001,0.0038,0.0011,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0623,0.4409,0.0962,0.0189,0.0884,0.1005,0.141,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0431,0.4537,0.091,0.0198,0.0858,0.1116,0.1275,0.0441,0.0029,0.0001,0.0001,0.0038,0.0011,0.0038,0.0074,0.0001,0.0006,0.0007,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0016,0.0316,0.463,0.0874,0.0214,0.0925,0.0926,0.1544,0.033,0.0028,0.0002,0.0002,0.0038,0.0012,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0011,0.0468,0.4488,0.096,0.0201,0.087,0.1024,0.131,0.0367,0.0042,0.0001,0.0001,0.0038,0.0017,0.005,0.0091,0.0001,0.0014,0.0012,0.0022,0.0002,0.0,0.0,0.0,0.0005,0.0005
0.0011,0.0305,0.4464,0.0906,0.0194,0.0918,0.1092,0.1281,0.0489,0.0035,0.0006,0.0001,0.0038,0.0036,0.0038,0.011,0.0001,0.0007,0.0027,0.0015,0.0001,0.0005,0.0012,0.0,0.0005,0.0003
0.0011,0.0296,0.4739,0.0871,0.0212,0.0923,0.0949,0.1303,0.0441,0.0028,0.0001,0.0001,0.0038,0.0016,0.0038,0.0097,0.0001,0.0006,0.0014,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0012,0.0301,0.4785,0.0896,0.0217,0.082,0.0938,0.1521,0.0288,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0075,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0003
0.0012,0.0297,0.4958,0.0888,0.023,0.0809,0.0924,0.1371,0.0287,0.0028,0.0001,0.0001,0.0038,0.0013,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0013,0.0303,0.4989,0.0892,0.0233,0.0814,0.0927,0.1314,0.0287,0.0028,0.0001,0.0001,0.0038,0.0015,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0007,0.0005
0.0013,0.0303,0.4989,0.0892,0.0233,0.0814,0.0927,0.1314,0.0287,0.0028,0.0001,0.0001,0.0038,0.0015,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0007,0.0005
0.0011,0.03,0.4646,0.0892,0.0215,0.0856,0.1034,0.1328,0.0383,0.0028,0.0004,0.0001,0.0038,0.0043,0.0038,0.0115,0.0001,0.0006,0.0029,0.001,0.0,0.0003,0.001,0.0,0.0005,0.0004
0.0012,0.0296,0.4912,0.0887,0.0232,0.0811,0.0945,0.1348,0.029,0.0028,0.0002,0.0001,0.0038,0.0015,0.0038,0.0098,0.0001,0.0007,0.0019,0.0008,0.0,0.0001,0.0002,0.0,0.0006,0.0003
0.0015,0.0304,0.4948,0.0896,0.0236,0.0822,0.0946,0.128,0.0289,0.0028,0.0001,0.0001,0.0038,0.0019,0.0038,0.0105,0.0002,0.0006,0.0007,0.0007,0.0,0.0,0.0003,0.0,0.0006,0.0003
0.0012,0.0388,0.4768,0.0892,0.0224,0.0817,0.0953,0.1329,0.0292,0.0028,0.0001,0.0001,0.0038,0.0015,0.005,0.0134,0.0001,0.0014,0.0011,0.0022,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0013,0.0276,0.4683,0.086,0.0207,0.0952,0.1076,0.1424,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0007,0.0003
0.0011,0.0267,0.4583,0.0844,0.0189,0.1055,0.1186,0.1358,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0291,0.4904,0.0869,0.0213,0.0852,0.0978,0.1374,0.0287,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0074,0.0001,0.0006,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0004
0.0011,0.0448,0.4525,0.0919,0.0204,0.0848,0.1149,0.1272,0.0326,0.0028,0.0003,0.0001,0.0038,0.002,0.0038,0.0082,0.0001,0.0029,0.0012,0.0033,0.0,0.0002,0.0003,0.0,0.0005,0.0003
0.0011,0.0273,0.4307,0.0853,0.0189,0.079,0.1323,0.1351,0.0548,0.0028,0.0004,0.0001,0.0038,0.0029,0.0038,0.0143,0.0001,0.001,0.0029,0.0017,0.0,0.0003,0.0006,0.0,0.0005,0.0003
0.0011,0.027,0.4291,0.0847,0.0189,0.0773,0.1308,0.1256,0.0624,0.0028,0.0002,0.0001,0.0038,0.0016,0.0038,0.0252,0.0001,0.0006,0.0029,0.0008,0.0,0.0001,0.0003,0.0,0.0005,0.0003
