file-execve,file-access,file-open,file-fstat,file-mmap2,file-close,file-read,file-stat,file-write,file-unlink,file-bind,file-listen,file-chmod,file-connect,file-writev,file-recv,file-ftruncate,file-sendmsg,file-send,file-recvmsg,file-accept,file-sendto,file-recvfrom,file-truncate,process-clone,process-waitpid
0.0011,0.0324,0.4453,0.0927,0.0202,0.0861,0.0985,0.1665,0.035,0.0036,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0626,0.4409,0.0963,0.0186,0.0886,0.1007,0.1408,0.029,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0428,0.4537,0.0911,0.0195,0.0858,0.1118,0.1279,0.0446,0.0029,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0006,0.0008,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0016,0.0318,0.4671,0.088,0.0214,0.0862,0.0929,0.1543,0.0333,0.0028,0.0002,0.0002,0.0038,0.0015,0.0044,0.0073,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0006,0.0004
0.0011,0.0471,0.4457,0.097,0.0195,0.0875,0.1028,0.1314,0.039,0.0046,0.0001,0.0001,0.0038,0.0015,0.0044,0.0079,0.0001,0.0014,0.0015,0.0022,0.0003,0.0,0.0,0.0,0.0005,0.0005
0.0011,0.0295,0.4475,0.0891,0.0191,0.0928,0.1031,0.1275,0.056,0.0031,0.0006,0.0001,0.0038,0.0032,0.0038,0.0128,0.0001,0.0007,0.0024,0.0018,0.0,0.0005,0.0006,0.0,0.0005,0.0003
0.0011,0.0267,0.4566,0.0847,0.0186,0.1044,0.091,0.1254,0.0606,0.0028,0.0001,0.0001,0.0038,0.0018,0.0038,0.0143,0.0001,0.0006,0.0018,0.0007,0.0,0.0,0.0002,0.0,0.0005,0.0003
0.0011,0.0267,0.4593,0.0846,0.0186,0.1068,0.0892,0.1256,0.06,0.0028,0.0002,0.0001,0.0038,0.0012,0.0038,0.0126,0.0001,0.0006,0.0012,0.0008,0.0,0.0001,0.0,0.0,0.0005,0.0003
0.0011,0.0292,0.4614,0.0902,0.0228,0.0957,0.0917,0.1314,0.0494,0.0028,0.0002,0.0001,0.0038,0.0024,0.0038,0.0095,0.0001,0.0006,0.0015,0.0009,0.0,0.0001,0.0005,0.0,0.0005,0.0003
0.0011,0.031,0.4824,0.0898,0.0213,0.0829,0.0947,0.1433,0.0316,0.0028,0.0002,0.0001,0.0038,0.0012,0.0038,0.0067,0.0001,0.0006,0.0009,0.0008,0.0,0.0001,0.0,0.0,0.0005,0.0003
0.0011,0.0274,0.4326,0.0854,0.019,0.0814,0.1089,0.1565,0.0542,0.0028,0.0003,0.0001,0.0038,0.0028,0.0038,0.0147,0.0001,0.0006,0.002,0.001,0.0,0.0002,0.0005,0.0,0.0005,0.0003
0.0011,0.0269,0.4342,0.0851,0.0187,0.0834,0.093,0.1979,0.0321,0.0028,0.0003,0.0001,0.0038,0.002,0.0038,0.0096,0.0001,0.0006,0.002,0.0011,0.0,0.0002,0.0004,0.0,0.0005,0.0003
0.0012,0.028,0.4427,0.0862,0.0188,0.0911,0.0974,0.1295,0.0537,0.0028,0.0007,0.0001,0.0038,0.0042,0.0038,0.026,0.0001,0.0007,0.0049,0.0018,0.0,0.0006,0.001,0.0,0.0006,0.0003
0.0011,0.0303,0.5029,0.0891,0.0233,0.0807,0.0934,0.1287,0.029,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0001,0.0,0.0005,0.0003
0.0015,0.0303,0.4962,0.0897,0.023,0.0821,0.0931,0.1316,0.0292,0.0028,0.0001,0.0001,0.0038,0.0016,0.0038,0.0077,0.0002,0.0006,0.0009,0.0007,0.0,0.0,0.0001,0.0,0.0006,0.0003
0.0014,0.0386,0.4741,0.089,0.0213,0.0818,0.0941,0.1406,0.0292,0.0028,0.0001,0.0001,0.0038,0.0016,0.005,0.0103,0.0001,0.0014,0.0015,0.0019,0.0,0.0,0.0001,0.0,0.0008,0.0004
0.0011,0.0271,0.4633,0.0857,0.0199,0.1026,0.1151,0.1348,0.029,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0267,0.4572,0.0845,0.0186,0.1049,0.1178,0.1387,0.029,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0006,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0005,0.0004
0.0011,0.0299,0.5012,0.0881,0.0222,0.0804,0.093,0.1332,0.029,0.0028,0.0001,0.0001,0.0038,0.0011,0.0038,0.0067,0.0001,0.0008,0.0008,0.001,0.0,0.0,0.0,0.0,0.0005,0.0003
0.0011,0.0286,0.4325,0.0866,0.0187,0.0844,0.0932,0.1369,0.0351,0.0028,0.001,0.0001,0.0038,0.0029,0.0038,0.0487,0.0001,0.0066,0.0048,0.0058,0.0,0.0009,0.0008,0.0,0.0005,0.0003
0.0011,0.0353,0.4438,0.0903,0.0209,0.0872,0.0969,0.135,0.0302,0.0037,0.0002,0.0001,0.0038,0.0016,0.0054,0.0083,0.0001,0.018,0.0009,0.0157,0.0,0.0001,0.0003,0.0003,0.0005,0.0003
0.0011,0.0314,0.4378,0.0874,0.0191,0.0814,0.0932,0.1277,0.0374,0.0028,0.0005,0.0001,0.0038,0.0028,0.0038,0.0169,0.0001,0.0247,0.0035,0.0226,0.0,0.0004,0.0007,0.0,0.0005,0.0003
0.0012,0.0295,0.4889,0.0888,0.0226,0.0814,0.0922,0.1436,0.0294,0.0028,0.0001,0.0001,0.0038,0.0014,0.0038,0.0067,0.0001,0.0006,0.0008,0.0008,0.0,0.0,0.0004,0.0,0.0006,0.0004
0.0011,0.0325,0.4339,0.0888,0.0186,0.084,0.0964,0.1289,0.0409,0.003,0.001,0.0001,0.0038,0.0041,0.0038,0.0449,0.0001,0.0026,0.0046,0.0041,0.0,0.0009,0.0011,0.0,0.0005,0.0003
0.0011,0.0326,0.4329,0.0891,0.0189,0.0831,0.095,0.1289,0.0391,0.0031,0.0008,0.0001,0.0038,0.0037,0.0054,0.0466,0.0001,0.0038,0.0051,0.0042,0.0,0.0007,0.0011,0.0,0.0005,0.0003
0.0011,0.0407,0.4446,0.091,0.019,0.0841,0.0963,0.1275,0.0349,0.0029,0.0004,0.0001,0.0038,0.0027,0.007,0.0318,0.0001,0.0034,0.0024,0.0046,0.0,0.0003,0.0005,0.0,0.0005,0.0003
0.0011,0.0328,0.4364,0.0886,0.0193,0.0824,0.0949,0.1274,0.0354,0.0028,0.0004,0.0001,0.0038,0.0041,0.007,0.0463,0.0001,0.0051,0.0046,0.0053,0.0,0.0003,0.001,0.0,0.0005,0.0003
0.0011,0.0268,0.4339,0.0853,0.0186,0.0828,0.0921,0.1272,0.0398,0.0028,0.0005,0.0001,0.0038,0.0029,0.0038,0.0646,0.0001,0.0024,0.0076,0.0021,0.0,0.0004,0.0005,0.0,0.0005,0.0003
0.0011,0.0292,0.4306,0.0864,0.0187,0.08,0.0969,0.1266,0.043,0.0029,0.0004,0.0001,0.0038,0.0033,0.0038,0.0655,0.0001,0.0007,0.0039,0.0011,0.0,0.0003,0.0008,0.0,0.0005,0.0003
0.0011,0.0272,0.4309,0.0852,0.0186,0.0793,0.0995,0.1434,0.0449,0.0028,0.0004,0.0001,0.0038,0.0019,0.0038,0.0493,0.0001,0.0006,0.0046,0.0011,0.0,0.0003,0.0003,0.0,0.0005,0.0003
0.0011,0.0274,0.431,0.0867,0.0187,0.0811,0.1017,0.1283,0.0483,0.0029,0.0007,0.0001,0.0038,0.0055,0.0038,0.0497,0.0001,0.0006,0.0043,0.0016,0.0,0.0006,0.0012,0.0,0.0005,0.0003
0.0011,0.0274,0.4297,0.0866,0.0186,0.0785,0.1009,0.1269,0.0464,0.0031,0.0005,0.0001,0.0038,0.0027,0.0038,0.063,0.0001,0.0007,0.003,0.0014,0.0,0.0004,0.0005,0.0,0.0005,0.0003
0.0011,0.0267,0.4287,0.0856,0.0186,0.0767,0.1068,0.126,0.0562,0.0029,0.0002,0.0001,0.0038,0.0014,0.0038,0.055,0.0001,0.0012,0.0025,0.0016,0.0,0.0001,0.0001,0.0,0.0005,0.0003
0.0011,0.0268,0.4296,0.0861,0.0186,0.0787,0.1027,0.1268,0.0468,0.0028,0.0004,0.0001,0.0038,0.0034,0.0038,0.0614,0.0001,0.0006,0.0034,0.0013,0.0,0.0003,0.0006,0.0,0.0005,0.0003
0.0011,0.0269,0.429,0.0859,0.0186,0.0776,0.1079,0.1264,0.0588,0.0029,0.0005,0.0001,0.0038,0.0026,0.0038,0.0473,0.0001,0.0006,0.003,0.0015,0.0,0.0004,0.0004,0.0,0.0005,0.0003
0.0011,0.0269,0.4295,0.0857,0.0186,0.0788,0.1048,0.1272,0.0507,0.0028,0.0007,0.0001,0.0038,0.0027,0.0038,0.0545,0.0001,0.0006,0.0036,0.0018,0.0,0.0006,0.0008,0.0,0.0005,0.0003
0.0011,0.0271,0.4291,0.0861,0.0186,0.0776,0.1035,0.1262,0.0517,0.003,0.0004,0.0001,0.0038,0.0026,0.0038,0.0595,0.0001,0.0006,0.0028,0.001,0.0,0.0003,0.0002,0.0,0.0005,0.0003
0.0011,0.0269,0.429,0.0852,0.0186,0.0775,0.1111,0.1259,0.0596,0.0028,0.0002,0.0001,0.0038,0.0015,0.0038,0.0459,0.0001,0.0012,0.0031,0.0015,0.0,0.0001,0.0002,0.0,0.0005,0.0003
